Land	Code	Wahlkreis-Name	Gemeinden am 31.12.2015 (Anzahl)	Fl�che am 31.12.2015 (km�)	Bev�lkerung am 31.12.2015 - Insgesamt (in 1000)	Bev�lkerung am 31.12.2015 - Deutsche (in 1000)	Bev�lkerung am 31.12.2015 - Ausl�nder (%)	Bev�lkerungsdichte am 31.12.2015 (Einwohner je km�)	Zu- (+) bzw. Abnahme (-) der Bev�lkerung 2015 - Geburtensaldo (je 1000 Einwohner)	Zu- (+) bzw. Abnahme (-) der Bev�lkerung 2015 - Wanderungssaldo (je 1000 Einwohner)	Alter von ... bis ... Jahren am 31.12.2015 - unter 18 (%)	Alter von ... bis ... Jahren am 31.12.2015 - 18-24 (%)	Alter von ... bis ... Jahren am 31.12.2015 - 25-34 (%)	Alter von ... bis ... Jahren am 31.12.2015 - 35-59 (%)	Alter von ... bis ... Jahren am 31.12.2015 - 60-74 (%)	Alter von ... bis ... Jahren am 31.12.2015 - 75 und mehr (%)	Zensus 2011, Bev�lkerung nach Migrationshintergrund am 09.05.2011 - ohne Migrationshintergrund (%)	Zensus 2011, Bev�lkerung nach Migrationshintergrund am 09.05.2011 - mit Migrationshintergrund (%)	Zensus 2011, Bev�lkerung nach Religionszugeh�rigkeit am 09.05.2011 - R�misch-katholische Kirche (%)	Zensus 2011, Bev�lkerung nach Religionszugeh�rigkeit am 09.05.2011 - Evangelische Kirche (%)	Zensus 2011, Bev�lkerung nach Religionszugeh�rigkeit am 09.05.2011 - Sonstige, keine, ohne Angabe (%)	Zensus 2011, Wohnungen in Wohngeb�uden am 09.05.2011 - Eigent�merquote	Baut�tigkeit und Wohnungswesen - Fertiggestellte Wohnungen 2014 (je 1000 Einwohner)	Baut�tigkeit und Wohnungswesen - Bestand an Wohnungen am 31.12.2015 (je 1000 Einwohner)	Verf�gbares Einkommen der privaten Haushalte 2014 (� je Einwohner)	Bruttoinlandsprodukt 2014 (� je Einwohner)	Kraftfahrzeugbestand am 01.01.2016 (je 1000 Einwohner)	Absolventen/Abg�nger beruflicher Schulen 2015	Absolventen/Abg�nger allgemeinbildender Schulen 2015 - insgesamt ohne Externe (je 1000 Einwohner)	ohneHauptschule	Hauptschule	MittleremAbschluss	mitAbitur	Kindertagesbetreuung: Betreute Kinder am 01.03.2016 (je 1000 Einwohner)	Unternehmensregister 2014 - Unternehmen insgesamt (je 1000 Einwohner)	Unternehmensregister 2014 - Handwerksunternehmen (je 1000 Einwohner)	Sozialversicherungspflichtig Besch�ftigte am 30.06.2016 - insgesamt (je 1000 Einwohner)	Sozialversicherungspflichtig Besch�ftigte am 30.06.2016 - Land- und Forstwirtschaft, Fischerei (%)	Sozialversicherungspflichtig Besch�ftigte am 30.06.2016 - Produzierendes Gewerbe (%)	Sozialversicherungspflichtig Besch�ftigte am 30.06.2016 - Handel, Gastgewerbe, Verkehr (%)	Sozialversicherungspflichtig Besch�ftigte am 30.06.2016 - �ffentliche und private Dienstleister (%)	Sozialversicherungspflichtig Besch�ftigte am 30.06.2016 - �brige Dienstleister und 'ohne Angabe' (%)	Empf�nger(innen) von Leistungen nach SGB II am 31.12.2016 -  insgesamt (je 1000 Einwohner)	Empf�nger(innen) von Leistungen nach SGB II am 31.12.2016 - nicht erwerbsf�hige Hilfebed�rftige (%)	Empf�nger(innen) von Leistungen nach SGB II am 31.12.2016 - Ausl�nder (%)	Arbeitslosenquote M�rz 2017 - insgesamt	Arbeitslosenquote M�rz 2017 - M�nner	Arbeitslosenquote M�rz 2017 - Frauen	Arbeitslosenquote M�rz 2017 - 15 bis unter 20 Jahre	Arbeitslosenquote M�rz 2017 - 55 bis unter 65 Jahre	Total	Total2	CDU	CDU2	SPD	SPD2	LINKE	LINKE2	GRUENE	GRUENE2	FDP	FDP2	AFD	AFD2	NDP	NDP2
Niedersachsen	49	Salzgitter � Wolfenb�ttel	40	1235.6	265.2	243.9	8	214.6	-5.7	16.2	16	7.6	10.3	35.8	17.9	12.3	81.8	18.2	13.4	49.2	37.4	55.6	1.1	524.9	19830	31071	651.3	4.1	9.7	5.1	14.6	54.1	26.2	36.2	29	4.7	321	0.6	43.1	18.1	11.2	27	94.6	26.4	30	8.1	8.5	7.7	6	7.9	155479	155719	45310	45985	66587	50482	9290	11266	6680	10213	7268	12450	18564	19115		606
Niedersachsen	50	Braunschweig	1	192.2	251.4	227	9.7	1308	-1.7	12.7	14.3	9.2	16.7	33.5	15.2	11	78.6	21.4	14	39.6	46.4	32.7	2	546.9	19803	43302	605.1	6.2	10.4	5	9.8	36.3	49	44.5	37	4.7	501.1	0.1	21.5	20.3	31	27.1	76.9	23.4	22.7	6.1	6.2	5.9	3.2	6.9	146350	146657	45881	42534	55641	38695	11145	13673	11761	17295	7877	14684	11377	12268		308
Niedersachsen	51	Helmstedt � Wolfsburg	40	1162	241.9	218.9	9.5	208.2	-3.5	13.9	15.7	7.3	12.9	35.7	16.5	12	78.2	21.8	14	46.6	39.3	51.8	3	512.2	21065	79429	977.4	3.5	10.5	4.9	8.9	50.1	36.1	36.8	24.5	3.8	616.3	0	0	11.6	18.4	15.9	65.8	25.3	26.1	5.8	6	5.5	4.5	5.8	135832	136012	47416	47037	51646	40740	8128	9050	6096	8064	7791	10988	13857	14862		623
Niedersachsen	52	Goslar � Northeim � Osterode	22	2121.9	255.2	238.2	6.7	120.3	-7.3	15.3	14.4	7.5	10	35.1	19	13.9	87.6	12.4	11.1	58.5	30.4	54.1	0.9	550.3	20180	25830	722.8	5.8	10.1	4.3	14.2	50.4	31.1	31.4	36.4	6.5	326.9	2.1	33.2	21	11.4	32.3	76	25	20.9	6.7	7.3	5.9	4.6	6.7	149372	149790	59391	48131	51953	48016	8525	9521	8128	9929	7438	13734	13937	15132		595
Niedersachsen	53	G�ttingen	32	1264	286.8	264.2	7.9	226.9	-3.4	22.8	15.3	10	13.9	33.5	16.2	11.1	84.2	15.8	20.6	46.7	32.7	45.3	1.8	528.1	19554	32407	627.8	5.5	9.6	4.1	11.9	37.8	46.2	38	37.9	5.6	394.8	0.5	22.3	18.9	19.9	38.3	63.9	23.9	21.1	6	6.6	5.4	4.7	5.6	169108	169324	56250	51177	59032	47871	9905	14748	19131	19676	7734	15421	11870	13446		423
Bremen	54	Bremen I	1	154.3	352.6	302.9	14.1	2284.9	-1.7	11.2	15.5	8.6	14.6	34.4	16	10.9	73.5	26.5	11.2	38.1	50.8	41.2	2.1	522.2	20582	47434	488.3	0	10.9	5.7	17.4	38.2	38.7	38.8	43.5	4.7	483.6	0	0	25.3	25.2	26	145.4	27.4	39.2	9.8	10.4	9.2	7.3	9.1	185437	186376	44912	48458	55656	45729	22666	26425	22117	23568	20702	19138	14290	15539		264
Bremen	55	Bremen II � Bremerhaven	1	265.5	318.8	266.5	16.4	1200.9	-2.2	20.4	16.1	8.5	14	34.1	16.3	10.9	73.6	26.4	10.6	42.6	46.8	37.2	1.8	533.7	19465	43678	486.3	0	11.5	6.2	17.2	37	39.5	38.1	40.9	4.6	480.3	0	0	27.5	22.6	27.1	162.2	27.4	35.3	11.1	11.6	10.5	8.3	10	145606	145947	36363	34951	49463	43215	16739	18204	11269	13165	9755	11918	16645	17705	487	599
Brandenburg	56	Prignitz � Ostprignitz-Ruppin � Havelland I	66	5673.7	209.5	203.8	2.7	36.9	-6.6	9.6	13.9	4.5	11.2	37.5	19.7	13.1	96.8	3.2	2.5	23.6	73.9	49	2.4	554.3	17936	22177	713.8	2	8.5	9.2	15.7	43.1	32	64.3	39.6	10.1	336	5.2	28.6	21.7	11.2	33.3	102	21.8	10	8.9	9.4	8.3	7.9	9.4	118415	118408	36481	35215	28061	24884	20849	19447	3547	4231	4226	6555	21296	22183		1022
Brandenburg	57	Uckermark � Barnim I	55	4251.6	219.9	212.8	3.2	51.7	-6.3	12.4	14.4	4.4	10.6	37.4	20.2	13.1	95.9	4.1	2.6	16.6	80.8	42.2	3.2	546.3	18121	21832	681.9	1.3	8.4	9.1	14.5	44.4	32	68.1	37.6	9.2	297.4	4	26.2	23.5	12.4	34	113.1	21.9	8.1	10.3	11.1	9.4	9.7	11	127876	128013	39102	36160	24843	21650	23589	23870	4714	5187	4859	7021	25804	26605		1267
Brandenburg	58	Oberhavel � Havelland II	25	2206.2	295.8	287.1	2.9	134.1	-2.7	18.9	16.8	5	10.3	39.9	17.3	10.6	94.9	5.1	4.6	17.5	77.9	52.7	5.9	480.6	18806	23162	672.3	1.8	8.8	6.4	14.4	43.2	36	71	39.5	9	274.9	2	29.1	25.8	13.6	29.4	71.7	23.4	10.5	6.7	7.2	6.1	4.9	7.8	182290	182610	54455	51968	41423	33856	26839	26091	9685	11684	9514	13912	32762	33987		1476
Brandenburg	59	M�rkisch-Oderland � Barnim II	49	2463.6	269.3	262.1	2.7	109.3	-4.3	17.5	15.3	4.1	10.8	39.8	18.6	11.5	95.9	4.1	2.6	11.9	85.5	53.4	4.3	497.2	18742	18622	697.2	1.4	7.7	8.3	12.6	46.8	32.3	73.4	43.2	11.3	262.9	2.8	22.5	27	12.9	34.8	81.6	22.5	9.3	7	7.9	6	6.5	8.4	167605	167696	47594	42113	26526	25908	37721	34632	8972	7800	7111	11007	33915	34701		1243
Brandenburg	60	Brandenburg an der Havel � Potsdam-Mittelmark I � Havelland III � Teltow-Fl�ming I	37	3149.6	220.3	213.2	3.2	69.9	-5.8	15.1	13.9	4.4	11.9	36.6	19.7	13.5	95.4	4.6	2.5	16.1	81.4	43	2.4	545.9	18930	24020	648.7	2	7.9	7.4	13.8	40.1	38.8	72.8	40.4	9	329.3	2.1	24.9	24.4	17.5	31.1	81.3	23.2	11.8	7	7.9	6	6.8	7.9	125798	126145	39991	35556	31548	26055	19038	20925	4293	5238	5763	8194	21312	22633		1132
Brandenburg	61	Potsdam � Potsdam-Mittelmark II � Teltow-Fl�ming II	9	673.3	310.5	294.1	5.3	461.2	-0.5	20.9	17.5	5.6	13.8	36.9	15.8	10.4	93.7	6.3	4.8	16.6	78.7	30.3	5.9	500.9	19217	30931	586	2.4	8.8	4.7	10.4	35.2	49.7	86.7	46	8	408.4	1.3	13.5	20.3	29.8	35.1	69.9	24.9	20.4	6	6.9	5.1	5.2	6.8	193510	193869	48095	48015	50588	35773	31840	35106	15549	19079	14425	17768	23890	26133		682
Brandenburg	62	Dahme-Spreewald � Teltow-Fl�ming III � Oberspreewald-Lausitz I	51	4025.8	300.9	290.2	3.6	74.7	-4	17.3	15.2	4.8	11.3	38.6	18	12.1	95.2	4.8	3.4	18.9	77.7	51.6	3.7	502.2	19225	31015	722.4	1	8.4	7.5	11.5	46	35	70.1	43.6	10.3	361.6	3.1	27	32	14.5	23.4	68.6	23.9	13.7	5.8	6.2	5.3	4	6.9	184378	184910	56607	49982	36148	32565	30278	29217	8127	8617	8910	13718	37358	38915		1468
Brandenburg	63	Frankfurt (Oder) � Oder-Spree	38	2404.6	240.5	226.1	6	100	-5.5	24.6	14.6	5.2	11.4	36.3	19.4	13	95.2	4.8	2.9	12.7	84.4	40	2.9	531.6	18268	25059	655.5	2.4	8.5	8.1	11.3	45.4	35.2	69	38.3	9.3	345.2	1.9	24.2	21.2	15.8	36.9	97.2	23.8	14.1	8.2	8.9	7.4	8.6	8.9	137959	137998	37344	33888	23598	22702	26401	26202	4504	5896	7008	9241	30261	30477	1369	1509
Brandenburg	64	Cottbus � Spree-Nei�e	31	1822.6	217.3	209.1	3.8	119.2	-6.6	5.6	13.4	5	12.1	36.2	20	13.4	95.1	4.9	3.1	15.8	81	36.6	2.3	560.8	18308	33052	655	2	8.2	8.1	15.3	41.1	35.5	66.9	39.5	9.9	375.8	1.5	26.7	20.3	17.9	33.6	109	22	14.5	8.8	9.8	7.8	4.2	9	129723	130028	36855	31366	22019	19729	20359	21456	4319	4093	7426	9941	32776	34905		1437
Brandenburg	65	Elbe-Elster � Oberspreewald-Lausitz II	57	2983.3	200.9	196.8	2	67.3	-7.8	2.3	13.3	3.9	10.5	37.1	20.7	14.5	97.3	2.7	3	21.4	75.6	50	1	557.1	17818	22044	728.6	1.3	7.9	7.9	16	46.8	29.3	63.3	36.4	10.6	324	3.6	33.2	19.7	12.9	30.5	102.2	21.7	8.7	9.6	10	9.2	3.6	12.1	120848	121154	35633	33576	20142	18700	19583	18775	3543	3146	6492	8128	29830	30564		1757
Sachsen-Anhalt	66	Altmark	38	4716.2	201.4	194.6	3.4	42.7	-6.4	9.6	14.9	4.8	11.5	37.5	18.8	12.5	97.1	2.9	2.5	23.1	74.3	51.2	1.5	551.8	17755	21436	700.8	2.1	8.7	11	10.7	49.2	29.1	61	35.6	9.7	314.1	5.2	28.1	21.3	11	34.4	108.1	22.3	9.5	9.9	10.3	9.4	7.5	10	109455	109863	35644	36022	20900	18721	20973	20346	3738	3648	7388	7838	18031	18419		662
Sachsen-Anhalt	67	B�rde � Jerichower Land	42	3943.5	265.2	257.6	2.8	67.2	-5.6	9.2	14.7	4.4	11.3	38.5	19.2	11.9	97.3	2.7	3.5	16.1	80.4	55.9	1.4	533.9	19054	24871	726.4	1.2	7.5	9.1	6.9	58.8	25.2	68.8	34.5	9.3	327.8	3.7	36.4	24.9	9.5	25.6	81.9	22.3	12.4	7.2	7.7	6.6	5.8	8.6	145948	148088	55110	47566	29174	24053	29616	24555	3540	4236	11080	11413		27905	9619	1330
Sachsen-Anhalt	68	Harz	22	2339.6	257.4	248.5	3.5	110	-8.6	15.4	13.9	4.8	10.9	35.8	20.9	13.7	97.2	2.8	3.4	14.5	82	44.9	1.4	580.7	17779	21303	650.2	1.9	7.7	8.9	9.2	51.9	30.1	58.8	36	8.5	328.4	1.9	31.9	22.3	10.8	33	91.5	20.7	4.8	7.6	8.1	7	4.3	8	141128	141531	51386	47574	24767	22915	27104	25069	4462	4968	6923	9902	22792	23860		868
Sachsen-Anhalt	69	Magdeburg	5	588.6	292.4	276.2	5.6	496.7	-4.1	15.5	13.9	7.2	15	32.5	18.6	12.9	93.6	6.4	3.6	9.1	87.2	22.7	2.5	600	16976	30064	541.3	2.2	7.1	10.9	8.5	44	36.6	70.3	36.2	6.5	431.3	0.3	18.4	18.9	26	36.4	133.8	23.3	19.9	10	10.7	9.1	10.4	10	160556	160777	44021	44616	34877	27513	30299	30056	6417	8564	10796	12713	24509	26051	765	937
Sachsen-Anhalt	70	Dessau � Wittenberg	10	2175.1	211.4	204.4	3.3	97.2	-8.4	6.3	13	4.3	10.7	35.5	21.6	14.9	96.8	3.2	3.4	14.7	81.9	45.7	0.7	584.7	18156	24551	656.3	2.2	7.2	9.8	8	52.1	30.2	59.8	38.8	9	354.1	2.3	31.1	19.6	16.1	31	105.3	23	12.6	9.1	9.6	8.6	6.9	9.9	121399	121744	42781	38751	14806	17360	22086	21102	5607	4299	6051	8940	23520	24327	1165	1205
Sachsen-Anhalt	71	Anhalt	25	2257.6	268.8	260.7	3	119.1	-8.6	7.3	13.4	4.6	11.1	36.5	20.8	13.6	96.7	3.3	4	12.8	83.3	48.2	1	579.9	17535	23861	653.7	1.7	6.9	9.9	11.6	52.2	26.4	59.6	34.1	8.4	325.9	2.3	35.7	20.1	12.8	29.1	116.2	21.9	11.4	9.2	9.5	8.9	6.9	9.8	145192	145539	45843	44620	18687	20289	30757	25887	2854	3455	9213	10848	32281	32349	1029	1204
Sachsen-Anhalt	72	Halle	4	414.1	270.4	253.3	6.3	653.1	-3.7	19.2	14.7	7.9	15.3	32	18.4	11.7	93.6	6.4	3.7	9.2	87.1	21.1	0.6	593	16697	27422	476.7	1.9	7.2	10.8	10.1	42	37.1	70.6	32.2	5.1	404.1	0.3	14.6	19.4	26.9	38.8	146.4	26.9	23.3	9.8	10.9	8.6	10.4	9.3	150275	150294	40690	39833	32053	21196	30530	28892	5475	10457	10131	13533	26018	26727		764
Sachsen-Anhalt	73	Burgenland � Saalekreis	37	1711.6	231.8	222.7	3.9	135.4	-7.5	7.2	13.6	4.4	11.2	36.4	20.2	14.1	97	3	2.8	13.4	83.8	46.6	1	568.1	17949	23296	678.7	1.4	7	11.6	9.1	48.2	31.1	62.5	35.2	8.7	321.9	2.1	33.1	23.5	13.2	28.1	106.2	22.3	8.8	8.8	8.9	8.7	8.7	9.2	128915	129212	43254	38678	16930	17098	21819	21042	3198	3366	8538	10132	30112	31781	1569	1470
Sachsen-Anhalt	74	Mansfeld	35	2305.6	246.7	239.7	2.8	107	-7.9	5.8	13.5	4.3	10.6	36.3	21.6	13.7	97.4	2.6	3.3	11.8	84.9	52.8	1	556	17920	22978	703.3	1.5	6.7	13.8	10.8	54.1	21.3	59.4	34.8	8.7	321.5	2.3	33	24.8	12.7	27.1	111.4	22.8	9.4	10.2	10.5	9.9	9.4	11.1	137657	137932	42725	39751	20864	19835	24863	23909	3647	3250	11091	11236	32864	32982	1217	1297
Berlin	75	Berlin-Mitte	1	39.5	354.3	250	29.4	8972	1	11.7	15.8	7.1	17.1	35.1	15.4	9.4	75.9	24.1	10.3	16.1	73.7	6.6	2.5	540.5	18594	34171	394.2	2.2	8.6	10	14.3	33.6	42.2	44.7	50.7	4.9	396.1	0	13.8	22.3	30	33.9	159.3	26.4	30.9	9.4	10.2	8.4	12.6	9.5	149071	149443	27654	27861	35036	26788	30492	32118	26781	25708	9017	12972	11782	12289		
Berlin	76	Berlin-Pankow	1	96.8	314	283	9.9	3244.8	1.1	11.7	15.8	7.1	17.1	35.1	15.4	9.4	75.9	24.1	6.5	13.5	80	15.6	2.5	540.5	18594	34171	394.2	2.2	8.6	10	14.3	33.6	42.2	44.7	50.7	4.9	391.1	0	13.8	22.3	30	33.9	159.3	26.4	30.9	9.4	10.2	8.4	12.6	9.5	186313	186652	36429	36994	30509	29185	53618	43774	26376	26651	7890	12321	22487	23315		
Berlin	77	Berlin-Reinickendorf	1	89.4	252.1	216.7	14.1	2820.6	1.1	11.7	15.8	7.1	17.1	35.1	15.4	9.4	75.9	24.1	10.9	28.8	60.3	25	2.5	540.5	18594	34171	394.2	2.2	8.6	10	14.3	33.6	42.2	44.7	50.7	4.9	392.3	0	13.8	22.3	30	33.9	159.3	26.4	30.9	9.4	10.2	8.4	12.6	9.5	134860	135105	49654	41912	31882	27071	10384	11516	10647	12305	9688	15376	17738	18513		
Berlin	78	Berlin-Spandau � Charlottenburg Nord	1	99.5	262.4	222.2	15.3	2636.3	1	11.7	15.8	7.1	17.1	35.1	15.4	9.4	75.9	24.1	10.3	27.6	62.1	18.7	2.5	540.5	18594	34171	394.2	2.2	8.6	10	14.3	33.6	42.2	44.7	50.7	4.9	396	0	13.8	22.3	30	33.9	159.3	26.4	30.9	9.4	10.2	8.4	12.6	9.5	130574	130747	40372	36712	41965	29733	9861	12780	8031	11063	8292	12927	17551	18481		
Berlin	79	Berlin-Steglitz-Zehlendorf	1	102.6	286.5	258.7	9.7	2791.9	1.2	11.7	15.8	7.1	17.1	35.1	15.4	9.4	75.9	24.1	12.2	31.4	56.5	27.7	2.5	540.5	18594	34171	394.2	2.2	8.6	10	14.3	33.6	42.2	44.7	50.7	4.9	389.3	0	13.8	22.3	30	33.9	159.3	26.4	30.9	9.4	10.2	8.4	12.6	9.5	178373	178957	63085	53281	43801	34279	13392	16352	22712	25361	16159	25461	14549	15824		
Berlin	80	Berlin-Charlottenburg-Wilmersdorf	1	57.1	277.7	227.2	18.2	4860.2	1.1	11.7	15.8	7.1	17.1	35.1	15.4	9.4	75.9	24.1	12.6	24.5	62.9	15.3	2.5	540.5	18594	34171	394.2	2.2	8.6	10	14.3	33.6	42.2	44.7	50.7	4.9	392.4	0	13.8	22.3	30	33.9	159.3	26.4	30.9	9.4	10.2	8.4	12.6	9.5	156114	156647	47077	40085	43123	30351	14745	18367	21286	24770	14426	23280	11722	12374		
Berlin	81	Berlin-Tempelhof-Sch�neberg	1	53.1	333.7	279.2	16.3	6286.8	1	11.7	15.8	7.1	17.1	35.1	15.4	9.4	75.9	24.1	12.1	25.1	62.8	18.5	2.5	540.5	18594	34171	394.2	2.2	8.6	10	14.3	33.6	42.2	44.7	50.7	4.9	394.3	0	13.8	22.3	30	33.9	159.3	26.4	30.9	9.4	10.2	8.4	12.6	9.5	178666	179081	51708	44721	39380	36179	19356	23625	33763	27956	11362	18569	16188	17108		
Berlin	82	Berlin-Neuk�lln	1	45	318.7	246.2	22.7	7088.6	1.1	11.7	15.8	7.1	17.1	35.1	15.4	9.4	75.9	24.1	10.6	21.4	68	14.5	2.5	540.5	18594	34171	394.2	2.2	8.6	10	14.3	33.6	42.2	44.7	50.7	4.9	391.3	0	13.8	22.3	30	33.9	159.3	26.4	30.9	9.4	10.2	8.4	12.6	9.5	141105	141413	34593	31592	37777	27520	23204	25752	15480	18446	7255	10891	15105	15904	262	
Berlin	83	Berlin-Friedrichshain-Kreuzberg � Prenzlauer Berg Ost	1	26.9	339.8	273.3	19.6	12655.6	1	11.7	15.8	7.1	17.1	35.1	15.4	9.4	75.9	24.1	8.7	14.6	76.7	5.6	2.5	540.5	18594	34171	394.2	2.2	8.6	10	14.3	33.6	42.2	44.7	50.7	4.9	395.4	0	13.8	22.3	30	33.9	159.3	26.4	30.9	9.4	10.2	8.4	12.6	9.5	171349	171744	20955	23887	29028	27391	42600	49016	45055	35077	5263	10147	10558	10863		
Berlin	84	Berlin-Treptow-K�penick	1	167.8	251.2	237.1	5.6	1496.7	1.1	11.7	15.8	7.1	17.1	35.1	15.4	9.4	75.9	24.1	3.9	11.1	85	20.4	2.5	540.5	18594	34171	394.2	2.2	8.6	10	14.3	33.6	42.2	44.7	50.7	4.9	393.9	0	13.8	22.3	30	33.9	159.3	26.4	30.9	9.4	10.2	8.4	12.6	9.5	155192	155188	29384	31372	21379	24109	61881	39000	7755	12168	5831	10067	23245	26278	460	
Berlin	85	Berlin-Marzahn-Hellersdorf	1	61.9	256.3	239.4	6.6	4143.3	1.1	11.7	15.8	7.1	17.1	35.1	15.4	9.4	75.9	24.1	3.2	8.3	88.5	19.4	2.5	540.5	18594	34171	394.2	2.2	8.6	10	14.3	33.6	42.2	44.7	50.7	4.9	392.9	0	13.8	22.3	30	33.9	159.3	26.4	30.9	9.4	10.2	8.4	12.6	9.5	136785	136939	30480	28620	17172	19797	46782	35698	4440	5621	4852	7290	28167	29618	696	
Berlin	86	Berlin-Lichtenberg	1	52.2	273.3	241.4	11.7	5239.7	1	11.7	15.8	7.1	17.1	35.1	15.4	9.4	75.9	24.1	3.8	8	88.2	6.1	2.5	540.5	18594	34171	394.2	2.2	8.6	10	14.3	33.6	42.2	44.7	50.7	4.9	397.7	0	13.8	22.3	30	33.9	159.3	26.4	30.9	9.4	10.2	8.4	12.6	9.5	147072	147126	28905	27284	20720	21850	51249	43172	8609	9821	5018	7745	23119	24603	533	
Nordrhein-Westfalen	87	Aachen I	1	160.9	245.9	207.3	15.7	1528.7	-0.7	10.6	13.9	14.6	18.3	30	13.6	9.6	75.4	24.6	49.7	15.3	35	27.5	2	548.3	19652	33418	582.7	2.6	11.2	5.1	15.4	36.7	42.9	33.8	44.1	7.1	372.5	0.2	23.2	20.1	22.7	33.8	100	25	30.4	8.2	8.4	7.9	4.2	9	139357	139801	47011	38827	45309	34663	12282	14459	13104	17918	10232	19795	7817	8271		149
Nordrhein-Westfalen	88	Aachen II	9	546.1	308	274.4	10.9	564.1	-3.1	14.9	17	7.9	11.1	36.3	16.8	10.9	75.4	24.6	60.7	13.6	25.7	48.9	2.7	476.7	19652	33418	582.7	2.6	11.2	5.1	15.4	36.7	42.9	33.8	44.1	7.1	373.1	0.2	23.2	20.1	22.7	33.8	100	25	30.4	8.2	8.4	7.9	4.2	9	171176	171607	62405	52656	63135	60539	8785	10105	7782	8436	11038	19213	15114	14853		423
Nordrhein-Westfalen	89	Heinsberg	10	628	252.5	225.4	10.8	402.1	-3.1	15.6	17	8.1	11.2	37.2	16.2	10.4	79.4	20.6	61.5	17	21.5	59.1	4.3	463.9	18979	23143	697.4	2.2	12.6	5.3	13.1	45.3	36.2	32.6	42.3	8.1	265.6	1	29.2	25	14.4	30.5	70.2	28.9	21.1	6	6.1	5.8	3.4	6.6	140604	140890	64121	55605	39301	36421	6424	7909	6964	7281	9334	16111	11652	12313		457
Nordrhein-Westfalen	90	D�ren	15	941.4	262.8	237.4	9.7	279.2	-3.7	17.7	16.7	8.5	11.4	36.2	16.6	10.5	80.9	19.1	60.7	13.4	25.8	56.2	2.6	468.2	20228	26518	693.2	2.2	12	5.4	16.5	41.3	36.8	33.4	38.6	7.8	313	0.8	30.8	17	24.3	27.1	87.4	27.7	23.5	7.2	7.4	6.9	4.5	6.6	149838	150134	62711	52412	47543	43816	6611	8809	8235	8198	8788	17155	13404	14432		411
Nordrhein-Westfalen	91	Rhein-Erft-Kreis I	7	525.3	336.1	297.2	11.6	639.9	-1.5	16.9	17.2	7.7	11.4	37	16.7	10	78	22	51.3	16.5	32.2	54.9	3.9	468.4	21542	30472	662.9	2	10.9	3.6	13.3	43.6	39.5	36.4	42.2	6.4	293.5	0.8	26.5	30.6	17.4	24.7	82.6	28.1	32.8	7.1	7.2	6.9	4.3	8.6	189339	189868	74207	63664	58792	50014	8590	11392	10354	12526	17648	27398	17113	18091		426
Nordrhein-Westfalen	92	Euskirchen � Rhein-Erft-Kreis II	14	1428.1	321.7	293.4	8.8	225.3	-3.3	17.9	16.9	7.7	10.8	36.9	16.7	11	81.5	18.5	58.2	16.1	25.6	58.1	3.4	470.7	21000	27111	754.6	2.2	11.8	4.6	15.2	40.9	39.3	34.2	42.6	7.7	292.9	0.8	27.7	27	15.3	29.1	69	28	27.2	6.2	6.4	6	3	7.3	185575	186196	79493	66503	48592	43498	10835	11403	10689	12447	18316	27410	17650	18325		452
Nordrhein-Westfalen	93	K�ln I	1	128.3	291.4	228.8	21.4	2271.2	1.6	10.1	15.9	8.5	16.9	36.2	13.6	8.9	67.7	32.3	37.2	16.4	46.4	28.1	3.7	521.7	20799	54704	501	2.8	9.5	5.1	16.6	36.9	41.4	38.6	56.3	5.5	513.6	0	14.9	22.3	37.4	25.3	113.7	27	39.2	8.5	9.1	7.8	5.7	10.8	138196	138631	43683	36565	42799	33666	11898	15271	13535	15800	10652	18067	11952	12290		224
Nordrhein-Westfalen	94	K�ln II	1	101.6	316.9	275.1	13.3	3120.4	1.6	10.1	15.9	8.5	16.9	36.2	13.6	8.9	67.7	32.3	39.5	19	41.6	28.1	3.7	521.7	20799	54704	501	2.8	9.5	5.1	16.6	36.9	41.4	38.6	56.3	5.5	511.8	0	14.9	22.3	37.4	25.3	113.7	27	39.2	8.5	9.1	7.8	5.7	10.8	196761	197078	68657	56165	52880	38485	15704	21100	28716	30630	17816	33760	9057	9964		107
Nordrhein-Westfalen	95	K�ln III	1	122.9	304.5	245.3	19.4	2476.6	1.6	10.1	15.9	8.5	16.9	36.2	13.6	8.9	67.7	32.3	38.3	15.1	46.6	26.7	3.7	521.7	20799	54704	501	2.8	9.5	5.1	16.6	36.9	41.4	38.6	56.3	5.5	513.6	0	14.9	22.3	37.4	25.3	113.7	27	39.2	8.5	9.1	7.8	5.7	10.8	149098	149525	41106	36500	48148	36849	14431	19118	19621	20973	10599	16850	11249	11731		202
Nordrhein-Westfalen	96	Bonn	1	141.1	318.8	272.2	14.6	2260.1	1.4	13.3	17.3	9.6	15.6	34.3	13.6	9.7	69	31	39	22	39	33.7	3.3	529.3	23005	74287	769.3	3.7	13.6	2.8	12.7	34.4	50.1	41.6	48.8	4.9	540.4	0.1	8.1	15.3	32.7	43.8	99.7	30.6	35.9	6.7	7.4	6	4.6	7.2	178941	179208	57330	53334	62377	36119	10193	17133	15056	25197	18724	28113	10882	13136		147
